ticket,summary,owner,component,milestone,status,version,created,priority,cc
10797,[IE 6] Dijit.Dialog sticks to the right side of the page when using html fieldsets  OR  div elements width specified height  value,,Dijit,tbd,new,1.4.0,2010-03-01T01:02:37-08:00,high,
10815,[patch][cla]dijit.Tree dndSource can never set pure dnd target,,Dijit,tbd,new,1.4.0,2010-03-03T21:24:49-08:00,high,
11226,"Uncaught exception in dijit/focus.js if current focus on input with ""display: none""",,Dijit,future,new,1.4.1,2010-05-27T03:10:55-07:00,high,
11479,Gray Out Check Box and Radio Button Labels,,Dijit - LnF,future,new,1.5,2010-07-23T11:36:28-07:00,high,
11713,dojo.query docs,,Documentation,tbd,new,1.5,2010-09-10T11:38:24-07:00,high,ttrenka
11736,dijit.Editor IE8: Scrollbars appear when selecting an image,,Editor,future,new,1.5,2010-09-15T08:12:47-07:00,high,
11758,dojox GridContainer DragHandle Problem,,DojoX Layout,tbd,new,1.5,2010-09-19T18:38:46-07:00,high,
11759,[PATCH][CLA]GridContainerLite postCreate call twice unnessary,,DojoX Layout,tbd,new,1.5,2010-09-19T20:44:04-07:00,high,
11811,FloatingPane DockIcon dojoxDockRestoreButton missing arrowUp.png,,DojoX Layout,tbd,new,1.5,2010-10-01T06:37:17-07:00,high,
11924,Dialog: first open with href content doesn't auto resize,,Dijit,tbd,new,1.5,2010-11-05T13:13:24-07:00,high,
11988,_Widgets have no way to reliably determine whether they are visible,,Dijit,future,new,1.5,2010-11-30T02:22:28-08:00,high,
11989,_Templated: call resize() on _supportingWidgets,,Dijit,future,reopened,1.5,2010-11-30T02:24:31-08:00,high,
12160,Dialog widget with action bar interaction issue,,Dijit,tbd,new,1.6.0b1,2011-01-13T21:33:42-08:00,high,"polomm@…, doughays"
12241,Content Pane has problems if ioMethod='dojo.xhrPost',,DojoX Layout,tbd,new,1.5,2011-02-02T09:45:57-08:00,high,
12298,TooltipDialog: unable to focus iframe inside of dijit.TooltipDialog,,Dijit,future,new,1.6.0b1,2011-02-16T03:20:20-08:00,high,
12350,"Tooltip: when rendered 'above' an anchor, mis-renders on IE7",,Dijit - LnF,future,new,1.6.0rc1,2011-02-25T01:26:21-08:00,high,
12403,ContenPane does not add scripts onto the DOM in Firefox 4,,DojoX Layout,tbd,new,1.5,2011-03-08T00:21:56-08:00,high,
12533,dojox.layout.TableContainer ignores programmatic lables and titles,,DojoX Layout,tbd,new,1.6.0,2011-03-25T03:44:01-07:00,high,
12612,"XHR attribute ""failOk"" still not surpress all browser console error messages",,Core,tbd,new,1.6.0,2011-04-06T07:14:59-07:00,high,
12684,"dojo.query, dojo.getObject, dojo.setObject API-docs is missing",,Documentation,tbd,new,1.6.0,2011-04-15T00:06:28-07:00,high,
12747,Nested object serialization with objectToQuery,,Core,tbd,new,1.6.0,2011-04-21T20:48:31-07:00,high,
12802,Menu: broken when declared inside a TitlePane,,Dijit,2.0,reopened,1.6.0,2011-04-28T04:00:53-07:00,high,
12843,Dialog: does not show when you set css display to none in external stylesheet vs inline,,Dijit,future,new,1.6.0,2011-05-03T08:36:26-07:00,high,
12953,Tree: node cache can interfere with the appearance of a re-added node,,Dijit,tbd,new,1.6.1,2011-05-16T09:40:35-07:00,high,
12982,GridContainer offsets column index when manually organized,,DojoX Layout,tbd,new,1.6.1,2011-05-18T08:52:55-07:00,high,
13070,dojox.form.uploader.plugins.Flash given URL cannot include several parameters,,General,tbd,new,1.6.1,2011-05-25T03:14:45-07:00,high,
13112,"TabContainer: very slow tab changed, if content is big",,Dijit,future,new,1.6.1,2011-05-30T12:15:18-07:00,high,
13141,Tree: selection box is limited only by the visible width of the tree (claro),,Dijit - LnF,tbd,new,1.6.1,2011-06-01T01:08:12-07:00,high,
13175,Menu: programmatic example fails (Opera 11.11),,Dijit,future,new,1.6.1,2011-06-05T01:38:27-07:00,high,
13247,FF first load of iframes nested in TabContainer renders iframes in wrong place,,Dijit,tbd,new,1.7.0b1,2011-06-16T06:38:32-07:00,high,
13356,tree.dndSource.onDndRop: Parameter childItem is undefined when calling model.isItem(childItem),,Dijit,tbd,new,1.6.0,2011-07-03T02:09:37-07:00,high,
13395,scripts_evals_in_global_scope failure in dojox.layout.ContentPane,,DojoX Layout,tbd,new,1.7.0b1,2011-07-10T00:04:22-07:00,high,
13425,dojox.mdnd.AreaManager Can't handle multiple dragHandleClass,,General,tbd,new,1.6.1,2011-07-12T11:12:33-07:00,high,amuraco@…
13427,dijit.Editor does not allow single quotes in an img alt attribute in IE,,Editor,tbd,new,1.6.0,2011-07-12T17:03:21-07:00,high,
13460,Emoticon breaks if set as image again after double clicking the emotion,,Editor,tbd,new,1.7.0b1,2011-07-17T20:11:15-07:00,high,
13479,Dijit layout needs page refresh in Opera 11.50,,Dijit,future,new,1.6.0,2011-07-19T10:01:50-07:00,high,
13726,"Tree: items dropped in order they were selected, rather than order before drag",,Dijit,future,new,1.6.1,2011-08-19T01:27:31-07:00,high,"liucougar, zhongsq@…"
13744,dijit.Editor make IE crash using EnterKeyHandling plugin,,Editor,tbd,new,1.6.1,2011-08-23T11:09:17-07:00,high,
13947,"TitlePane: closing then opening makes text in !ValidationTextBox disappear (IE6, IE7)",,Dijit,2.0,new,1.6.1,2011-09-20T07:33:24-07:00,high,sdas@…
14017,ExpandoPane showing/hiding animation wrong when in right/bottom/trailing region,,DojoX Layout,tbd,new,1.6.1,2011-09-28T17:19:58-07:00,high,
14111,hovering a dropdown causes mouseout event on anchor widget,,Dijit,future,new,1.6.1,2011-10-18T04:51:09-07:00,high,
14114,Chrome / Webkit removing event.layerX and event.layerY,,General,tbd,new,1.6.1,2011-10-18T12:11:05-07:00,high,
14208,Firebug shows a correct line number and incorrect (parent) file name in reporting a JavaScript error when a script is loaded dynamically with Dojo Toolkit,,Core,tbd,new,1.6.1,2011-11-03T11:33:45-07:00,high,
14233,Dojox.mobile.Swapview not restored correctly,,General,1.8,new,1.6.1,2011-11-06T23:13:03-08:00,high,
14255,Dojox: dojox.layout.ContentPane loads iframes twice,,DojoX Layout,tbd,new,1.7.0,2011-11-11T07:34:31-08:00,high,
14267,TooltipDialog: width not correctly set in its first display when there are left and/or right paddings set,,Dijit,tbd,new,1.6.1,2011-11-15T12:21:15-08:00,high,
14275,dojo.safeMixin can fail in IE,,General,tbd,new,1.6.1,2011-11-17T09:12:21-08:00,high,
14295,"Calendar: month drop down's right border not visible for IE8, quirks mode",,Dijit,tbd,new,1.6.1,2011-11-22T18:38:30-08:00,high,
14355,http://dojotoolkit.org/api/,,Documentation,tbd,new,1.7.0,2011-12-01T01:08:52-08:00,high,
14379,[patch][cla] GridContainerLite - publish restriction only on keyboard event,,DojoX Layout,1.8,new,1.7.0,2011-12-03T11:56:56-08:00,high,
14380,[patch][cla] GridContainerLite reduce duplicateCode to compute colWidth,,DojoX Layout,1.8,new,1.7.0,2011-12-04T03:08:54-08:00,high,
14443,Tree: must fail gracefully when last selected node no longer exists,,Dijit,tbd,new,1.7.1,2011-12-10T07:23:29-08:00,high,"Simon, Speich"
14493,"""expires"" key in cookieProps object gets overwritten by dojo.cookie()",,General,tbd,new,1.6.0,2011-12-16T11:57:58-08:00,high,
14584,"dojox.layout.ContentPane: ""first Dojo wins"" policy should not throw ""defineAlreadyDefined"" error",,DojoX Layout,tbd,new,1.7.1,2012-01-09T08:50:49-08:00,high,rcgill
14596,Reference guide updates to use AMD loader,,Documentation,tbd,new,1.7.1,2012-01-11T04:29:18-08:00,high,peter.kokot@…
14612,OpenSocial gadgets using dojo cannot use dojo/xhr to do xhr.,,Core,1.8,new,1.7.1,2012-01-12T12:30:03-08:00,high,BryanForbes
14613,dojo.back.init() with amd asynch mode,,General,tbd,new,1.7.1,2012-01-12T14:06:24-08:00,high,
14625,dojox.form.Uploader uses different filenames for IE vs other (filenames0 vs filenames[]),,General,1.7.2,new,1.7.1,2012-01-16T05:30:42-08:00,high,
12233,Tooltop position wrong with body position: relative + margin: auto,,Dijit,tbd,new,1.5,2011-01-31T15:51:30-08:00,low,
12330,Dialog: doesn't work on WebOS browser,,Dijit,future,new,1.5,2011-02-22T12:34:42-08:00,low,
13896,"Tab container not supporting width and height auto or 100% in browser like chrome, IE, Safari",,Dijit,tbd,new,1.6.1,2011-09-13T02:35:54-07:00,low,
14057,Editor leaves artifacts from deleted characters,,Editor,tbd,new,1.6.1,2011-10-04T17:44:20-07:00,low,
5698,error inputting negative numbers for ar locale,,Dijit,future,new,1.0,2008-01-27T20:03:34-08:00,blocker,hwcdl@…
8509,IE8: header highlighting too short,,DojoX Grid,future,new,1.2.3,2009-01-26T21:16:51-08:00,blocker,
12207,Error message from loader.js with the uri which contains German characters in IE8,,Core,tbd,new,1.5,2011-01-25T04:09:05-08:00,blocker,
12222,Error in one dojo.ready() or dojo.addOnLoad() will break all following calls,,General,tbd,new,1.5,2011-01-28T14:16:26-08:00,blocker,
2408,Escape key in browser kills cometd connection,,DojoX Cometd,future,new,0.4.1,2007-02-05T06:22:31-08:00,high,
4513,"honor style=""..."" tags to widgets",,Dijit,future,new,0.9,2007-09-19T20:21:03-07:00,high,
4641,Chronic leak in dijit.Menu(destroy won't destroy),,Dijit,future,new,0.9,2007-10-04T18:36:43-07:00,high,
5605,"Implement or document ""i18n best practices"" for mail demo",,Dijit,future,new,1.0,2008-01-16T16:31:15-08:00,high,
5653,InlineEditBox: blur of editor switches to view mode,,Dijit,2.0,new,1.0,2008-01-24T05:54:38-08:00,high,
6391,RichText specifies height as attribute,,Editor,2.0,new,1.1.0,2008-04-03T06:11:49-07:00,high,"bill, alex"
6493,Range support for Date and Timepicker,,DojoX Form,future,new,1.1.0,2008-04-10T07:56:08-07:00,high,
6788,dojo._setOpacity will remove other filters on the domnodes when opacity==1,,General,future,new,1.1.0,2008-05-19T18:44:49-07:00,high,
6814,"Error in ""load"" callback triggers ""error"" callback even though xhr request was successful.",,General,future,new,1.1.0,2008-05-23T11:38:51-07:00,high,"attila.lendvai, justin.driscoll@…"
6834,Square brackets handled improperly in dojo attribute queries,,Core,future,new,1.1.1,2008-05-26T23:44:16-07:00,high,
6848,dojo.io.script should have a way to explicitly provide errors,,Core,future,new,1.1.1,2008-05-29T14:58:40-07:00,high,"alex, jayant.b.sai@…"
6897,backbutton with iframes breaks cometd connection,,General,future,new,1.1.1,2008-06-05T01:59:10-07:00,high,
6901,console.debug fails when dealing with XML node lists in IE,,Core,future,new,1.1.1,2008-06-05T21:27:31-07:00,high,
7076,Support deferred in DOH setUp/tearDown,,General,future,new,1.1.1,2008-06-27T16:02:28-07:00,high,"alex@…, jayant.b.sai@…"
7932,dojox.form.MultiComboBox drop down menu resets selection,,DojoX Form,future,new,1.2.0,2008-10-22T03:41:13-07:00,high,
8130,dojo.setSelectable should be dojo.attr('selectable'),,General,2.0,new,1.2.1,2008-11-19T15:49:17-08:00,high,"jburke, elatzukin"
8242,Grid content does not display once containing div exceeds height threshold on FF3,,DojoX Grid,future,new,1.2.1,2008-12-07T18:22:17-08:00,high,
8489,disallow id's with spaces,,Dijit,2.0,new,1.2.3,2009-01-23T20:03:29-08:00,high,
8494,_Templated: remove whitespace from templates,,Dijit,future,new,1.2.3,2009-01-25T02:34:35-08:00,high,
8519,layout widget addChild()/removeChild() try to do layout even when hidden,,Dijit,future,new,1.2.3,2009-01-27T10:29:50-08:00,high,
8525,dojo.io.iframe.send should create a form if one isn't passed but POST is required,,Core,future,new,1.2.3,2009-01-27T15:16:59-08:00,high,alex
8953,RTL broken in quirks mode (IE),,Core,future,new,1.3.0b3,2009-03-21T19:07:06-07:00,high,
9106,keyboard column resizing bugs,,DojoX Grid,future,new,1.3.0,2009-04-10T07:55:24-07:00,high,becky
9122,[patch] [cla] dojox.grid.DataGrid: setStore doesn't resize the grid if there are no items in the store,,DojoX Grid,future,new,1.3.0,2009-04-13T20:28:49-07:00,high,
9160,RangeSlider: attr('value') has reversed return value in RTL mode,,DojoX Form,future,new,1.3.0,2009-04-17T20:13:10-07:00,high,
9224,DataGrid will jump to the pageNode which has the selected row,,DojoX Grid,future,new,1.3.0,2009-04-29T19:20:52-07:00,high,
9298,"FF3, dojo release 1.3, scroll position not persisted after render finished",,DojoX Grid,future,new,1.3.0,2009-05-14T04:33:09-07:00,high,"toonetown@…, BryanForbes@…, drschwar@…, hwcdl@…, hongg@…"
9329,dojox.form.RangeSlider RTL bug,,DojoX Form,future,new,1.3.1,2009-05-22T10:50:20-07:00,high,tklipstien
9375,support for WebKit's displayName feature of naming anonymous functions,,General,future,new,1.3.0,2009-06-04T06:39:25-07:00,high,
9413,Tree: nodes initially show + expando icon even when no children,,Dijit,2.0,new,1.3.0,2009-06-15T20:14:23-07:00,high,
9458,DataGrid disappears in a TabContainer,,DojoX Grid,future,new,1.3.0,2009-06-25T09:44:26-07:00,high,
9464,vertical scroll position is reset when resizing columns of a grid,,DojoX Grid,future,new,1.3.0,2009-06-26T03:05:30-07:00,high,
9530,Edit dijit Bug within http://archive.dojotoolkit.org/nightly/dojotoolkit/dojox/grid/tests/test_edit_dijit.html,,DojoX Grid,future,new,1.3.1,2009-07-10T03:14:10-07:00,high,doughays
9547,[PATCH][CCLA] Editor:  IE Horizontal scrollbar calc in view returns incorrectly.,,DojoX Grid,future,reopened,1.3.0,2009-07-13T10:10:11-07:00,high,
9595,Page Up and Page Down functions don't behave properly in DataGrid,,DojoX Grid,future,new,1.3.2,2009-07-22T09:01:00-07:00,high,"becky, jaredj"
9722,can't scroll grid in grid_hideHdr test on FF,,DojoX Grid,future,reopened,1.3.2,2009-08-15T14:55:55-07:00,high,
9723,grid passing _item to a formatter has trouble when defaultValue is set,,DojoX Grid,future,new,1.3.2,2009-08-15T21:56:55-07:00,high,
9728,Grid automated tests,,DojoX Grid,future,new,1.3.2,2009-08-17T01:13:01-07:00,high,
9736,"Tree: initial drag over tree node shows red avatar, should show green",,Dijit,future,new,1.3.2,2009-08-18T05:46:36-07:00,high,
9749,[patch][cla]Column DnD to same spot = sort?,,DojoX Grid,future,new,1.3.2,2009-08-20T13:49:08-07:00,high,
9868,dojo grid memory leak on ShowAll/HideAll,,DojoX Grid,future,new,1.3.2,2009-09-10T21:21:45-07:00,high,
9874,[patch][cla]ComboBox Grid Cell does not close popup when editing is cancelled,,DojoX Grid,future,new,1.3.2,2009-09-11T10:36:52-07:00,high,
9942,[patch] [cla] Dojo array iteration methods deviate from spec on sparse arrays,,General,2.0,new,1.3.2,2009-09-22T18:42:54-07:00,high,elazutkin
10006,"_CheckedMultiSelectItem should not capture ""onmousedown"" event",,DojoX Form,future,new,1.3.2,2009-10-01T13:24:45-07:00,high,
10064,Grid:  Keyboard scrolling through header doesn't always work correctly,,DojoX Grid,future,new,1.3.2,2009-10-08T14:01:39-07:00,high,
10065,Grid: scrolling issue with Firefox,,DojoX Grid,future,new,1.3.2,2009-10-08T14:26:31-07:00,high,becky
10119,[meta] Update API cheet sheet for new APIs,,Documentation,future,new,1.4.0b,2009-10-15T06:56:22-07:00,high,
10133,DataGrid - Year is clipped,,DojoX Grid,future,new,1.4.0b,2009-10-16T14:35:56-07:00,high,"drschwartz, tmayeur@…, toonetown, hwcdl@…"
10134,IE8: No keyboard focus shown in edit field within grid,,DojoX Grid,future,new,1.4.0b,2009-10-16T14:42:46-07:00,high,
10144,Base Data Grid - Keyboard focus incomplete,,DojoX Grid,future,new,1.4.0b,2009-10-19T10:47:38-07:00,high,"drschwartz, tmayeur@…, toonetown, hwcdl@…"
10149,Datagrid - Probles to navigate between cells using JAWS,,DojoX Grid,future,new,1.4.0b,2009-10-19T14:54:00-07:00,high,"drschwartz, tmayeur@…, toonetown, hwcdl@…"
10151,Base DataGrid - Problems when reading form elements using JAWS,,DojoX Grid,future,new,1.4.0b,2009-10-19T18:26:37-07:00,high,"drschwartz, tmayeur@…, toonetown, Evan, becky"
10158,Datagrid Accessibility- Mouse pointer is not displayed using high contrast.,,DojoX Grid,future,new,1.4.0b,2009-10-20T11:23:09-07:00,high,"drschwartz, tmayeur@…, toonetown, hwcdl@…, becky"
10180,Grid row selector icon does not show in a dialog,,DojoX Grid,future,new,1.4.0b,2009-10-22T01:12:23-07:00,high,
10185,Datagrid Accessibility - Problems reading column headers with JAWS,,DojoX Grid,future,new,1.4.0b,2009-10-22T10:49:06-07:00,high,"drschwartz, tmayeur@…, toonetown, hwcdl@…, becky"
10520,dojox.date.timezone inline docs needed,,Dojox,tbd,new,1.4.0,2009-12-16T11:07:01-08:00,high,
10546,Menu: menu closes after mousing past popup MenuItem (IE6),,Dijit,tbd,new,1.4.0,2009-12-21T17:49:55-08:00,high,
10564,Grid breaks DND in dojox.layout.GridContainer when columns are sortable,,DojoX Layout,tbd,new,1.4.0,2009-12-26T06:48:40-08:00,high,
10722,queryToObject throws exception for malformed URI sequence,,Core,tbd,new,1.4.0,2010-02-05T10:28:05-08:00,high,mlogan@…
10941,Removing nodes should remove event handlers to prevent memory leaks.,,Core,future,new,1.4.0,2010-04-03T18:06:20-07:00,high,
11064,clicking disabled widgets focuses them (webkit),,Dijit,future,new,1.5.0b1,2010-04-29T06:15:45-07:00,high,
11230,Dojo fails to detect successfully loaded resources (chrome-extension),,Core,tbd,reopened,1.4.3,2010-05-28T05:23:18-07:00,high,
11445,Defered loading in Firefox produces: 'console is not defined' error,,General,tbd,new,1.4.3,2010-07-15T09:30:10-07:00,high,philip@…
11448,"""Type mismatch"" error when loading dojo 1.4 in IE 6",,General,tbd,new,1.4.0,2010-07-16T10:50:13-07:00,high,
11452,[meta] remove attr() as a getter setter in dojox,,Dojox,future,new,1.5,2010-07-18T09:55:59-07:00,high,
11460,"Array.prototype.sort is unstable in some versions of V8, leading to weird behavior inside Dojo",,General,tbd,new,1.5,2010-07-19T04:02:10-07:00,high,phiggins
11462,"claro: right/left tabs unusable (IE, RTL mode)",,Dijit - LnF,tbd,new,1.5,2010-07-19T18:17:47-07:00,high,
11523,CSS loading race condition,,Dijit,2.0,new,1.5,2010-08-02T08:18:45-07:00,high,
11672,API tool doesn't show ComboBox pageSize,,Documentation,tbd,new,1.5,2010-09-02T07:52:06-07:00,high,
11715,Missing closing tags (mostly test) files.,,General,future,new,1.5,2010-09-11T23:26:51-07:00,high,
11718,dynamic treegrid for multiple dojo in one page,,General,tbd,new,1.5,2010-09-13T02:29:11-07:00,high,
11752,dojo._base.html dojo._getMarginBox problem with FireFox,,Core,tbd,new,1.4.3,2010-09-17T07:29:22-07:00,high,"elazutkin, doughays"
11812,dojo.create fails to add all attributes of input type=hidden in IE 7,,General,tbd,new,1.5,2010-10-01T06:57:07-07:00,high,
11828,dojo.coords not deprecated in docs,,Documentation,tbd,new,1.5,2010-10-04T18:30:54-07:00,high,ttrenka
11858,IE9: viewport dimensions incorrect with larger font DPI,,General,tbd,new,1.5,2010-10-13T15:15:09-07:00,high,
11909,Tree: dead zone dropping between nodes (IE Tree_Dnd.html test failure),,Dijit,tbd,new,1.5,2010-11-03T06:19:53-07:00,high,
12059,firebug.js: replacements for console logging functions break if defined more than once,,General,tbd,new,1.4.3,2010-12-08T12:27:28-08:00,high,steve.pemberton@…
12102,relative urls in copy/paste documentation examples,,Documentation,tbd,new,1.5,2010-12-17T15:11:40-08:00,high,"phiggins, nonken, klipstein"
12121,"dojo.indexOf uses ==, should use ===",,Core,tbd,new,1.5,2010-12-27T12:23:38-08:00,high,
12156,13 nested dojo.require calls can cause stack overflow on MSIE 7,,General,tbd,new,1.5,2011-01-12T16:12:38-08:00,high,
12227,dojo.fieldToObject Not Working for Radio Button Group,,General,tbd,new,1.5,2011-01-31T02:24:34-08:00,high,
12260,Fix debugAtAllCosts with DOH for 1.5,,TestFramework,future,new,1.5,2011-02-05T21:03:06-08:00,high,dave@…
12324,__XhrArgs.load called without 'loadOrError' parameter,,Core,tbd,new,1.4.3,2011-02-20T20:40:59-08:00,high,
12479,Dialog: clicking underlay then pressing tab focuses objects behind dialog,,Dijit,future,new,1.6.0,2011-03-18T22:03:29-07:00,high,
12565,Nodelist.traverse tests (closest and parents) fail on opera 11,,Core,tbd,new,1.6.0,2011-03-29T14:17:49-07:00,high,
12566,tests.window.viewportQuirks fails on opera 11,,Core,tbd,new,1.6.0,2011-03-29T14:18:40-07:00,high,
12760,dojox.layout.scrollPane has scrollbar on left instead of right,,DojoX Layout,tbd,new,1.6.0,2011-04-23T12:31:17-07:00,high,
12997,[docs] Update examples to explicitly require dojo.parser,,Documentation,1.8,new,,2011-05-19T09:07:35-07:00,high,
13036,[meta] lint fixes,,General,tbd,new,1.6.1,2011-05-21T20:18:20-07:00,high,
13411,TabContainer tab renders with huge (51000px) width,,Dijit,tbd,new,1.6.1,2011-07-11T10:08:34-07:00,high,
13791,Tree: support DnD between trees/plain containers connected to different stores,,Dijit,future,new,1.6.1,2011-08-31T06:37:34-07:00,high,
14093,dojo.i18n.getLocalization() not working in Rhino environment,,Core,tbd,new,1.7.0b1,2011-10-13T07:49:50-07:00,high,"rcgill, peller"
14193,pagedown button works poorly on chrome,,Editor,future,new,1.6.1,2011-11-01T19:44:51-07:00,high,
14240,Tooltip dialog and dropdown button problem in IE,,Dijit,tbd,new,1.6.1,2011-11-07T20:37:44-08:00,high,
14251,use CSS transitions instead of javascript animations,,Dijit,2.0,new,1.6.1,2011-11-10T13:36:52-08:00,high,
14306,missing reference doc for radiostack,,Documentation,tbd,new,1.7.0,2011-11-23T23:57:00-08:00,high,
14321,quirks tests run in standards mode on IE9,,TestFramework,tbd,new,1.7.0,2011-11-24T20:08:09-08:00,high,haysmark
14322,[meta] IE9 test fixes,,General,1.8,new,1.7.0,2011-11-24T20:10:34-08:00,high,
14519,User-specified format lost,,Editor,tbd,new,1.5,2011-12-21T14:55:52-08:00,high,
14535,dojo.mixin generates inconsistent mixins,,Core,tbd,new,1.7.1,2011-12-28T08:44:17-08:00,high,
5903,BorderContainer splitter minimum goes beyond border width,,Dijit,future,new,1.0,2008-02-18T21:34:04-08:00,low,
6117,wrap certain constructs in tables for browser bidi quirks,,Dijit,future,new,1.0,2008-03-07T17:41:39-08:00,low,
12965,NodeList.filter() doesn't work in webkitMobile builds,alex,Query,tbd,new,1.6.1,2011-05-17T06:35:22-07:00,high,
11433,dojo.toJson returns invalid JSON for undefined element,anonymous,General,tbd,reopened,1.4.3,2010-07-12T14:27:19-07:00,high,
13155,dojox.drawing exceptions on startup,asaelh,Dojox,tbd,new,1.6.1,2011-06-01T22:52:44-07:00,high,"mwilcox, liucougar"
14396,grid accessibility:  need to be able to add a summary attribute to a DataGrid,becky,Accessibility,1.7.2,new,1.7.0,2011-12-05T10:35:33-08:00,blocker,evan
13554,dojo.css breaks IE8 text size changes,becky,a11y - review,tbd,new,1.6.1,2011-08-01T14:30:34-07:00,high,"itorrey, nonken, becky"
5382,Memory leak on new() and destroy() widget,bill,Dijit,future,new,1.0,2007-12-13T22:16:01-08:00,blocker,
11923,JAWS form mode does not announce tab label on tabcontainer,bill,Accessibility,tbd,new,1.4.1,2010-11-05T13:03:24-07:00,blocker,
1096,Tooltips don't work on image maps,bill,Dijit,future,new,0.2,2006-07-06T23:25:43-07:00,high,
3138,On mouse click menu close browser scrolls to last focused item,bill,Dijit,future,new,0.9,2007-05-24T10:34:06-07:00,high,
3300,"Dialog, Tooltip: problems because they are moved to document.body",bill,Dijit,future,new,0.9,2007-06-06T11:57:33-07:00,high,tk
3383,ProgressBar: can't be inlined,bill,Dijit,2.0,new,0.9,2007-06-12T10:52:25-07:00,high,
3905,"Patch dojo.parser, OR  stop putting widget code in event callbacks such as onShow, onRezised etc",bill,Dijit,2.0,new,0.9,2007-07-30T13:03:27-07:00,high,
3957,Tooltips do not have ARIA markup,bill,Accessibility,future,new,0.9,2007-08-02T09:55:56-07:00,high,
4560,layout widgets don't react to browser font-size adjustments correctly,bill,Accessibility,future,new,0.9,2007-09-25T12:28:06-07:00,high,
4768,[meta] update dijit test files for proper a11y,bill,Accessibility,future,new,0.9,2007-10-17T14:26:51-07:00,high,
4793,menu: menu gets clipped when screen is too small,bill,Accessibility,future,new,0.9,2007-10-19T09:40:58-07:00,high,
4798,ColorPalette: Window-Eyes screen reader not speaking color names,bill,Accessibility,future,new,0.9,2007-10-19T12:13:35-07:00,high,
5005,can't insert templated widget's DOM tree into an iframe,bill,Dijit,future,new,0.9,2007-11-03T23:19:17-07:00,high,
5494,InlineEditBox: fails to appear inline for absolutely positioned node,bill,Dijit,future,new,1.0,2008-01-02T17:22:35-08:00,high,
6236,Tree: focus not updated correctly in various cases,bill,Accessibility,future,assigned,1.0,2008-03-17T14:49:54-07:00,high,mwilcox
6346,Tree DnD: drop twice the same object results in obscure error message.,bill,Dijit,future,new,0.9,2008-03-28T00:53:20-07:00,high,
